UNIPROT,Category of binding
Q9NTX7,Cargo A
P19484,Cargo A
Q9BRP8,Cargo A
Q9H425,Cargo A
Q9P0V9,Cargo A
Q14257,Cargo A
P14635,Cargo A
P0CAP2,Cargo A
Q9Y295,Cargo A
P30291,Cargo A
Q12800,Cargo A
Q99871,Cargo A
Q9NR12,Cargo A
O14730,Cargo A
Q9NQC3,Cargo A
Q9BVC4,Cargo A
Q9NRH1,Cargo A
Q9UJX3,Cargo A
P53677,Cargo A
Q9NS91,Cargo A
Q96C92,Cargo A
O14639,Cargo A
Q14153,Cargo A
Q96A73,Cargo A
Q9HD40,Cargo A
Q9UK97,Cargo A
Q9H000,Cargo A
Q9ULI2,Cargo A
Q6ZVM7,Cargo A
Q8WUP2,Cargo A
Q96GV9,Cargo A
Q96GA3,Cargo A
Q9BZI7,Cargo A
Q9BPZ7,Cargo A
Q92997,Cargo A
Q8TAP9,Cargo A
Q9NX31,Cargo A
Q96CS2,Cargo A
Q9BQQ3,Cargo A
Q86XN8,Cargo A
O94887,Cargo A
Q6P3S1,Cargo A
Q9NZI7,Cargo A
Q8NFZ5,Cargo A
Q9BYJ9,Cargo A
Q9NX04,Cargo A
P31321,Cargo A
Q5PRF9,Cargo A
Q5JTW2,Cargo A
Q01167,Cargo A
Q5U5Q3,Cargo A
P01106,Cargo A
A6NKD9,Cargo A
Q16526,Cargo A
O43294,Cargo A
A4D1P6,Cargo A
Q01201,Cargo A
Q8WVF1,Cargo A
P19532,Cargo A
Q9NQS1,Cargo A
Q9UHK0,Cargo A
Q9BST9,Cargo A
P55081,Cargo A
Q9BT25,Cargo A
Q9P2Y5,Cargo A
Q7Z2W4,Cargo A
Q9HBF4,Cargo A
O60239,Cargo A
Q6ZW31,Cargo A
Q9H6R7,Cargo A
Q9H0K1,Cargo A
Q9HAU5,Cargo A
Q07352,Cargo A
Q86UY5,Cargo A
Q9Y3T9,Cargo A
Q13895,Cargo A
O95684,Cargo A
Q5D1E8,Cargo A
Q8WU90,Cargo A
Q92599,Cargo A
Q86VQ1,Cargo A
Q9BYV8,Cargo A
O95628,Cargo A
Q14677,Cargo A
Q53EZ4,Cargo A
P47974,Cargo A
Q5JTD0,Cargo A
Q63ZY3,Cargo A
Q9ULX3,Cargo A
Q9BPZ3,Cargo A
Q96CW6,Cargo A
O14641,Cargo A
Q13627,Cargo A
Q8IXW5,Cargo A
O94927,Cargo A
P49757,Cargo A
Q96CW1,Cargo A
Q9H6D7,Cargo A
Q0JRZ9,Cargo A
O96018,Cargo A
P49674,Cargo A
P15923,Cargo A
Q8N6T3,Cargo A
O96013,Cargo A
Q8NHG8,Cargo A
Q9NYJ8,Cargo A
P50548,Cargo A
P32121,Cargo A
Q15436,Cargo A
Q9UPU7,Cargo A
Q8WUX9,Cargo A
P20042,Cargo A
Q9UQN3,Cargo A
Q8N6H7,Cargo A
Q96E09,Cargo A
Q13188,Cargo A
Q96IF1,Cargo A
Q96EV8,Cargo A
O15371,Cargo A
Q8TEH3,Cargo A
Q9C035,Cargo A
Q96N21,Cargo A
O95487,Cargo A
Q9Y6R0,Cargo A
P50579,Cargo A
Q16181,Cargo A
